,site_name,name,genus_species,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes,lon,lat
78,"Woranso-Mille, Ethiopia",BRT-VP-1/2,Australopithecus NA,Australopithecus,NA,teeth,2006,NA,3.3,3.5,K. Helem,17,data extracted as a part of another with no species classfication,-81.6128836,41.511524
79,"Woranso-Mille, Ethiopia",BRT-VP-1/13,Australopithecus NA,Australopithecus,NA,teeth,2006,NA,3.3,3.5,C. Mesfin,17,data extracted as a part of another with no species classfication,-81.6128836,41.511524
80,"Woranso-Mille, Ethiopia",BRT-VP-1/18,Australopithecus NA,Australopithecus,NA,teeth,2006,NA,3.3,3.5,K. Kayranto,17,data extracted as a part of another with no species classfication,-81.6128836,41.511524
81,"Woranso-Mille, Ethiopia",BRT-VP-1/118,Australopithecus NA,Australopithecus,NA,teeth,2012,NA,3.3,3.5,G. Alemayehu,17,data extracted as a part of another with no species classfication,-81.6128836,41.511524
82,"Woranso-Mille, Ethiopia",BRT-VP-1/120,Australopithecus NA,Australopithecus,NA,teeth,2012,NA,3.3,3.5,A. Elema,17,data extracted as a part of another with no species classfication,-81.6128836,41.511524
83,"Woranso-Mille, Ethiopia",BRT-VP-2/10,Australopithecus NA,Australopithecus,NA,teeth,2006,NA,3.3,3.5,Y. Haile-Selassie,17,data extracted as a part of another with no species classfication,-81.6128836,41.511524
84,"Woranso-Mille, Ethiopia",BRT-VP-2/73,Australopithecus afarensis ,Australopithecus,afarensis ,teeth,2009,NA,3.3,3.5,S. Melilo,17,NA,-81.6128836,41.511524
85,"Woranso-Mille, Ethiopia",BRT-VP-2/89,Australopithecus NA,Australopithecus,NA,foot,2012,NA,3.3,3.5,H. Gebreyesus,17,data extracted as a part of another with no species classfication,-81.6128836,41.511524
86,"Woranso-Mille, Ethiopia",BRT-VP-2/104,Australopithecus NA,Australopithecus,NA,teeth,2013,NA,3.3,3.5,M. Mekomeli,17,data extracted as a part of another with no species classfication,-81.6128836,41.511524
87,"Woranso-Mille, Ethiopia",BRT-VP-3/1,Australopithecus deyiremeda,Australopithecus,deyiremeda,teeth,2011,NA,3.3,3.5,M. Baro,17,NA,-81.6128836,41.511524
88,"Woranso-Mille, Ethiopia",BRT-VP-3/14,Australopithecus deyiremeda,Australopithecus,deyiremeda,mandble and teeth,2011,NA,3.3,3.5,A. Asfaw,17,NA,-81.6128836,41.511524
89,"Woranso-Mille, Ethiopia",BRT-VP-3/37,Australopithecus deyiremeda,Australopithecus,deyiremeda,teeth,2013,NA,3.3,3.5,A. Asfaw,17,NA,-81.6128836,41.511524
90,"Woranso-Mille, Ethiopia",WYT-VP-2/10,Australopithecus deyiremeda,Australopithecus,deyiremeda,mandible,2011,NA,3.3,3.5,A. Asfaw,17,NA,-81.6128836,41.511524
91,"Hadar formation, Ethiopia ",AL 444-2,Australopithecus afarensis ,Australopithecus,afarensis ,cranium,1992,3,NA,NA,Yoel Rak,18,collection date estimated from publication date and statement that it was found after 1990 ,-77.0260654,38.8912662
92,"Sterkfontein, South Africa",STS 5,Australopithecus afarensis ,Australopithecus,afarensis ,cranium,1947,NA,2.05,2.16,Robert Broom and John Robinson,19,NA,29.6006511,-25.0468118
93,"Sterkfontein, South Africa",STS 14,Australopithecus afarensis ,Australopithecus,afarensis ,postcranium,1947,NA,2.05,2.16,NA,20,suggested to be same individual as STS 5,29.6006511,-25.0468118
94,"Ledi-Geraru, Afar, Ethiopia",LD 350-1,Homo NA,Homo ,NA,mandible and teeth,2013,2.775,2.75,2.8,Chalachew Seyoum,21,Species not discernable,40.958688,11.7559388
95,"Taung, South Africa",Taung child ,Australopithecus africanus,Australopithecus,africanus,cranium,1924,2.3,NA,NA,Raymond Dart,22,NA,24.7662356,-27.5518206
96,"Middle Awash, Ethipoia ",Bou-VP-12/130,Australopithecus garhi,Australopithecus,garhi,cranium,1996,2.5,NA,NA,Y. Haile-Selassie,23,NA,39.9997991,9.9999553
97,"Sterkfontein, South Africa",Sts 71,Australopithecus africanus,Australopithecus,africanus,cranium,1947,NA,2.6,2.8,Robert Broom and John Robinson,24,NA,29.6006511,-25.0468118
98,"Drimolen Main Quarry, South Africa",DNH 134,Homo  erectus ,Homo ,erectus ,cranium,2017,2.04,NA,NA,Andy Herries ,25,excavation from 2015 - 2018,-25.97124,27.79194
99,"Drimolen Main Quarry, South Africa",DNH 152,Paranthropus robustus ,Paranthropus ,robustus ,cranium,2017,1.95,NA,NA,Andy Herries ,26,NA,-25.97124,27.79194
